R,G,B,Name
0,0,0,None
1,1,1,None
2,2,2,None
3,3,3,None
4,4,4,None
5,5,5,None
6,6,6,None
7,7,7,None
8,8,8,None
9,9,9,None
10,10,10,None
11,11,11,None
12,12,12,None
13,13,13,None
14,14,14,None
15,15,15,None
16,16,16,None
17,17,17,None
18,18,18,None
19,19,19,None
20,20,20,None
21,21,21,None
22,22,22,None
23,23,23,None
24,24,24,None
25,25,25,None
26,26,26,None
27,27,27,None
28,28,28,None
29,29,29,None
30,30,30,None
31,31,31,None
32,32,32,None
33,33,33,None
34,34,34,None
35,35,35,None
36,36,36,None
37,37,37,None
38,38,38,None
39,39,39,None
40,40,40,None
41,41,41,None
42,42,42,None
43,43,43,None
44,44,44,None
45,45,45,None
46,46,46,None
47,47,47,None
48,48,48,None
49,49,49,None
50,50,50,None
51,51,51,None
52,52,52,None
53,53,53,None
54,54,54,None
55,55,55,None
56,56,56,None
57,57,57,None
58,58,58,None
59,59,59,None
60,60,60,None
61,61,61,None
62,62,62,None
63,63,63,None
64,64,64,None
65,65,65,None
66,66,66,None
67,67,67,None
68,68,68,None
69,69,69,None
70,70,70,None
71,71,71,None
72,72,72,None
73,73,73,None
74,74,74,None
75,75,75,None
76,76,76,None
77,77,77,None
78,78,78,None
79,79,79,None
80,80,80,None
81,81,81,None
82,82,82,None
83,83,83,None
84,84,84,None
85,85,85,None
86,86,86,None
87,87,87,None
88,88,88,None
89,89,89,None
90,90,90,None
91,91,91,None
92,92,92,None
93,93,93,None
94,94,94,None
95,95,95,None
96,96,96,None
97,97,97,None
98,98,98,None
99,99,99,None
100,100,100,None
101,101,101,None
102,102,102,None
103,103,103,None
104,104,104,None
105,105,105,None
106,106,106,None
107,107,107,None
108,108,108,None
109,109,109,None
110,110,110,None
111,111,111,None
112,112,112,None
113,113,113,None
114,114,114,None
115,115,115,None
116,116,116,None
117,117,117,None
118,118,118,None
119,119,119,None
120,120,120,None
121,121,121,None
122,122,122,None
123,123,123,None
124,124,124,None
125,125,125,None
126,126,126,None
127,127,127,None
128,128,128,None
129,129,129,None
130,130,130,None
131,131,131,None
132,132,132,None
133,133,133,None
134,134,134,None
135,135,135,None
136,136,136,None
137,137,137,None
138,138,138,None
139,139,139,None
140,140,140,None
141,141,141,None
142,142,142,None
143,143,143,None
144,144,144,None
145,145,145,None
146,146,146,None
147,147,147,None
148,148,148,None
149,149,149,None
150,150,150,None
151,151,151,None
152,152,152,None
153,153,153,None
154,154,154,None
155,155,155,None
156,156,156,None
157,157,157,None
158,158,158,None
159,159,159,None
160,160,160,None
161,161,161,None
162,162,162,None
163,163,163,None
164,164,164,None
165,165,165,None
166,166,166,None
167,167,167,None
168,168,168,None
169,169,169,None
170,170,170,None
171,171,171,None
172,172,172,None
173,173,173,None
174,174,174,None
175,175,175,None
176,176,176,None
177,177,177,None
178,178,178,None
179,179,179,None
180,180,180,None
181,181,181,None
182,182,182,None
183,183,183,None
184,184,184,None
185,185,185,None
186,186,186,None
187,187,187,None
188,188,188,None
189,189,189,None
190,190,190,None
191,191,191,None
192,192,192,None
193,193,193,None
194,194,194,None
195,195,195,None
196,196,196,None
197,197,197,None
198,198,198,None
199,199,199,None
200,200,200,None
201,201,201,None
202,202,202,None
203,203,203,None
204,204,204,None
205,205,205,None
206,206,206,None
207,207,207,None
208,208,208,None
209,209,209,None
210,210,210,None
211,211,211,None
212,212,212,None
213,213,213,None
214,214,214,None
215,215,215,None
216,216,216,None
217,217,217,None
218,218,218,None
219,219,219,None
220,220,220,None
221,221,221,None
222,222,222,None
223,223,223,None
224,224,224,None
225,225,225,None
226,226,226,None
227,227,227,None
228,228,228,None
229,229,229,None
230,230,230,None
231,231,231,None
232,232,232,None
233,233,233,None
234,234,234,None
235,235,235,None
236,236,236,None
237,237,237,None
238,238,238,None
239,239,239,None
240,240,240,None
241,241,241,None
242,242,242,None
243,243,243,None
244,244,244,None
245,245,245,None
246,246,246,None
247,247,247,None
248,248,248,None
249,249,249,None
250,250,250,None
251,251,251,None
252,252,252,None
253,253,253,None
254,254,254,None
255,255,255,None
